u^2,u^3
0.017501032870651228,0.01546215582541977
0.018108320269808405,0.015352556020713566
0.025798023792143902,0.06824903717935285
0.04617156633804037,-0.07035741405005566
0.019406549264706193,0.01473527988402658
-0.07967589184898434,-0.011094901048982133
0.029056210158937393,0.06861579152067696
-0.07980981202720552,-0.009726713048019107
-0.005794164223173247,-0.0035339461645207924
0.018483301618454125,0.016839119976077923
0.045377169420337274,-0.07036870910504871
-0.005164090140426126,-0.005704065386068043
0.045551951391712406,-0.07021163366934179
-0.0033459485136642757,-0.003040818112487728
0.026642749614963688,0.06652212357916613
0.016837335156638218,0.016427702043329648
-0.0057074425550267234,-0.0050567963399902075
0.01799627267788204,0.016404941942668515
-0.0829460719815128,-0.010179080842391035
-0.006117628829431422,-0.004365039986702471
-0.006452677978169876,-0.006793895589651637
-0.004992206649975862,-0.0068275147520807135
-0.004231266273039691,-0.001850076399816425
0.028826833697329583,0.06997817620269556
-0.005003028047272017,-0.006726186740653125
0.017770500686253816,0.014637854371638472
0.015205619617006096,0.01580016281301412
0.043786366624865035,-0.06772984553882347
0.04421600073197251,-0.0684296830688852
0.04493338032529333,-0.06875608723357902
-0.07829902863726941,-0.010980398057360511
0.016757791586427054,0.014282907987605963
0.028947609452199145,0.07051344744430561
0.02901240060974606,0.06868472705529577
0.044090175621458685,-0.06888340463799972
0.04608272983138335,-0.07081596987940905
-0.005453618363445245,-0.0038524459331179192
-0.08007062775720304,-0.010924320763775789
0.018119322884053584,0.01584637163010134
0.0158719264278002,0.01617328214651639
0.028439841497068928,0.0688220998536138
-0.08058270115343115,-0.011785077565695743
-0.08200274581288462,-0.011464059059635977
0.017404874140310354,0.016573941418023843
0.01748064764207431,0.01798717536781163
0.01819861967523667,0.017457578176635367
-0.007207912325600085,-0.004565451483831716
-0.004090601818330071,-0.0034006427536681155
0.04507280485566532,-0.07101615449314116
0.017707916924682432,0.016592067790183955
-0.08002777809990747,-0.009981509107615296
0.02875168899647026,0.06511547876280893
0.027073783190869227,0.06639352825905559
0.017318765647044123,0.01686428075529516
-0.006056258265624672,-0.004226295832113807
-0.0064667985510615976,-0.0030441229323760555
0.04481050114027772,-0.06919042834506524
0.027744202491677368,0.06924426814534429
0.02614136770226762,0.0671304753252689
0.025839920133263472,0.06647673804995675
0.043271495048515435,-0.06762198117429054
0.01781228003553351,0.01810754415966648
0.02588333345000967,0.0669854392054564
0.04603845645989725,-0.06898913928010561
0.027378287255060224,0.0680231725697293
0.04567047018258585,-0.06966093559422734
0.04302644859908938,-0.07051766300167418
0.028767199856217677,0.06845905527136527
0.04610451996563807,-0.07084240608530044
-0.005054377634917586,-0.006957255682683351
0.044928318728213144,-0.06977192978933937
-0.006827777955147604,-0.005293529079269967
0.04535620851937042,-0.06774259748854097
-0.005084297766102323,-0.006882264465460922
0.01654208481049075,0.016058299717838637
0.04615818367897768,-0.07034361278809532
0.04632324331343858,-0.07062524750439586
-0.07970363683550734,-0.010064098654231165
0.045557857470861114,-0.07022664171200292
-0.077804638169833,-0.009379863098550892
0.02850460395191832,0.06925757123982629
0.044086504536993414,-0.0703326674774112
-0.08026621496271957,-0.010684211356046604
0.01902804066793974,0.015107334601022574
0.027216944344799227,0.06637238850383155
0.016692183259591122,0.017355544883891356
-0.005745373505343507,-0.0068615978580941935
-0.08229816715180803,-0.010642584082218985
-0.006282760636779612,-0.004842175783425824
0.01832015726028501,0.017173853823371995
-0.07836113933462953,-0.011586830809089567
-0.004552297530402824,-0.007572870852118036
0.0441519165561943,-0.06664014078267691
0.02894956399446334,0.0705350473242934
0.017290398243185044,0.016895284451183316
0.02792477306518834,0.06791313913048681
0.01746384719614193,0.015422138341886995
0.04669627382733897,-0.07098149697459143
-0.07864469139097975,-0.00848074679238362
-0.08146417965048217,-0.012124157780459747
